id	order	type	page_title	app_question	app_question_with_defect	defect	has_not_applicable_option	defect_order	has_image	has_text	is_prohibitional	show_warning	warning_text	safety_notes	for_hgv	for_non-hgv
97	23	yesno	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Sidelight cracked (front offside)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
98	23	yesno	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Sidelight damaged (front offside)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
99	23	yesno	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Sidelight not working (front offside)	0	0	0	0	1	0	\N	Not roadworthy replace bulb	1	1
100	24	yesno	Indicators and Hazard	Are all indicator and Hazard lights free from defects?	Are all indicator and Hazard lights free from defects?	Indicator cracked (front nearside)	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
101	24	yesno	Indicators and Hazard	Are all indicator and Hazard lights free from defects?	Are all indicator and Hazard lights free from defects?	Indicator damaged (front nearside)	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
102	24	yesno	Indicators and Hazard	Are all indicator and Hazard lights free from defects?	Are all indicator and Hazard lights free from defects?	Indicator not working (front nearside)	0	0	0	0	1	0	\N	Not roadworthy replace bulb	1	1
103	24	yesno	Indicators and Hazard	Are all indicator and Hazard lights free from defects?	Are all indicator and Hazard lights free from defects?	Indicator cracked (back nearside)	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
104	24	yesno	Indicators and Hazard	Are all indicator and Hazard lights free from defects?	Are all indicator and Hazard lights free from defects?	Indicator damaged (back nearside)	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
105	24	yesno	Indicators and Hazard	Are all indicator and Hazard lights free from defects?	Are all indicator and Hazard lights free from defects?	Indicator not working (back nearside)	0	0	0	0	1	0	\N	Not roadworthy replace bulb	1	1
106	24	yesno	Indicators and Hazard	Are all indicator and Hazard lights free from defects?	Are all indicator and Hazard lights free from defects?	Indicator cracked (back offside)	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
107	24	yesno	Indicators and Hazard	Are all indicator and Hazard lights free from defects?	Are all indicator and Hazard lights free from defects?	Indicator damaged (back offside)	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
108	24	yesno	Indicators and Hazard	Are all indicator and Hazard lights free from defects?	Are all indicator and Hazard lights free from defects?	Indicator not working (back offside)	0	0	0	0	1	0	\N	Not roadworthy replace bulb	1	1
109	24	yesno	Indicators and Hazard	Are all indicator and Hazard lights free from defects?	Are all indicator and Hazard lights free from defects?	Indicator cracked (front offside)	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
110	24	yesno	Indicators and Hazard	Are all indicator and Hazard lights free from defects?	Are all indicator and Hazard lights free from defects?	Indicator damaged (front offside)	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
111	24	yesno	Indicators and Hazard	Are all indicator and Hazard lights free from defects?	Are all indicator and Hazard lights free from defects?	Indicator not working (front offside)	0	0	0	0	1	0	\N	Not roadworthy replace bulb	1	1
112	25	yesno	Hazard Light Operation	Are hazard lights operational?	Are hazard lights operational?	Not working	0	0	0	0	0	0	\N	Roadworthy but needs workshop visit	1	1
113	26	yesno	Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Brake light cracked(nearside)	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
114	26	yesno	Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Brake light damaged (nearside)	0	0	0	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
115	26	yesno	Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Brake light not working (nearside)	0	0	0	0	1	0	\N	Not roadworthy replace bulb	1	1
116	26	yesno	Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Reverse light cracked (nearside)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
117	26	yesno	Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Reverse light damaged (nearside)	0	0	0	0	1	0	\N	Roadworthy but needs workshop visit	1	1
118	26	yesno	Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Reverse light not working (nearside)	0	0	0	0	1	0	\N	Roadworthy but needs workshop visit	1	1
119	26	yesno	Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Marker light cracked (nearside)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
120	26	yesno	Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Marker light damaged (nearside)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
121	26	yesno	Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Marker light not working (nearside)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
122	26	yesno	Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Reflectors cracked (nearside)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
123	26	yesno	Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Reflectors damaged (nearside)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
