id	order	type	page_title	app_question	app_question_with_defect	defect	has_not_applicable_option	defect_order	has_image	has_text	is_prohibitional	show_warning	warning_text	safety_notes	for_hgv	for_non-hgv
151	38	yesno	Trailer Indicators, Hazards, Auxilliary Lights and Beacons	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Indicator in-op	0	0	0	0	1	0	\N	Not roadworthy replace bulb	1	1
152	39	yesno	Trailer Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged nearside or offside body panel	0	0	1	0	1	0	\N	Roadworthy if there are no evident sharp edges	1	1
153	39	yesno	Trailer Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged rear bumper	0	0	1	0	1	0	\N	Roadworthy if there are no evident sharp edges	1	1
154	39	yesno	Trailer Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged rear doors	0	0	1	0	1	0	\N	Roadworthy if there are no evident sharp edges	1	1
155	39	yesno	Trailer Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Number plate damaged back	0	0	1	0	1	0	\N	Roadworthy if present and legible	1	1
156	39	yesno	Trailer Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Number plate missing back	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
157	39	yesno	Trailer Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Security of load / Easysheet damaged	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
158	39	yesno	Trailer Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Security of load / Easysheet not working	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
159	39	yesno	Trailer Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Spray suppression damaged	0	0	0	0	0	0	\N	Roadworthy but needs workshop visit	1	1
160	39	yesno	Trailer Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Landing legs damaged	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
161	39	yesno	Trailer Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Landing leg handle insecure	0	0	1	0	0	0	\N	Roadworthy but needs securing 	1	1
