id	order	page_title	app_question	app_question_with_defect	defect	defect_order	has_image	has_text	is_prohibitional	safety_notes	for_hgv	for_non-hgv
62	5	Steering	Is the steering free from defects?	Is the steering free from defects?	Steering wheel damaged	0	0	0	1	Not roadworthy vehicle must be VOR	1	1
63	5	Steering	Is the steering free from defects?	Is the steering free from defects?	Steering wheel inoperative	0	0	0	1	Not roadworthy vehicle must be VOR	1	1
64	5	Steering	Is the steering free from defects?	Is the steering free from defects?	Steering column insecure	0	0	0	1	Not roadworthy vehicle must be VOR	1	1
65	5	Steering	Is the steering free from defects?	Is the steering free from defects?	Steering column damaged	0	0	0	1	Not roadworthy vehicle must be VOR	1	1
66	5	Steering	Is the steering free from defects?	Is the steering free from defects?	Steering column leaking	0	0	0	1	Not roadworthy vehicle must be VOR	1	1
67	6	Windscreen	Is the windscreen free from defects?	Is the windscreen free from defects?	Windscreen chipped	0	1	0	1	Roadworthy if driver's vision is not impaired	1	1
68	6	Windscreen	Is the windscreen free from defects?	Is the windscreen free from defects?	Windscreen scratched	0	1	0	1	Roadworthy if driver's vision is not impaired	1	1
69	6	Windscreen	Is the windscreen free from defects?	Is the windscreen free from defects?	Windscreen cracked	0	1	0	1	Roadworthy if driver's vision is not impaired	1	1
70	6	Windscreen	Is the windscreen free from defects?	Is the windscreen free from defects?	Impaired driver vision	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
71	7	Wipers and Washers	Are the wipers and washers free from defects?	Are the wipers and washers free from defects?	Wiper missing	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
72	7	Wipers and Washers	Are the wipers and washers free from defects?	Are the wipers and washers free from defects?	Wipers worn	0	0	0	1	Not roadworthy wipers must be replaced	1	1
73	7	Wipers and Washers	Are the wipers and washers free from defects?	Are the wipers and washers free from defects?	Wiper inoperative	0	0	0	1	Not roadworthy vehicle must be VOR	1	1
74	7	Wipers and Washers	Are the wipers and washers free from defects?	Are the wipers and washers free from defects?	Washers ineffective	0	0	0	1	Roadworthy but needs workshop visit	1	1
75	7	Wipers and Washers	Are the wipers and washers free from defects?	Are the wipers and washers free from defects?	Washers inoperative	0	0	0	1	Not roadworthy vehicle must be VOR	1	1
76	8	Mirrors	Are all mirrors free from defects?	Are all mirrors free from defects?	Side view mirror chipped	0	1	0	1	Roadworthy if driver vision is not impaired	1	1
77	8	Mirrors	Are all mirrors free from defects?	Are all mirrors free from defects?	Side view mirror scratched	0	1	0	1	Roadworthy if driver vision is not impaired	1	1
78	8	Mirrors	Are all mirrors free from defects?	Are all mirrors free from defects?	Side view mirror cracked	0	1	0	1	Roadworthy if driver vision is not impaired	1	1
79	8	Mirrors	Are all mirrors free from defects?	Are all mirrors free from defects?	Side view mirror damaged	0	1	0	1	Roadworthy if driver vision is not impaired	1	1
80	8	Mirrors	Are all mirrors free from defects?	Are all mirrors free from defects?	Side view mirrors not aligned	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
81	8	Mirrors	Are all mirrors free from defects?	Are all mirrors free from defects?	Side mirror casing cracked	0	1	0	1	Roadworthy if driver vision is not impaired	1	1
82	8	Mirrors	Are all mirrors free from defects?	Are all mirrors free from defects?	Side mirror casing damaged	0	1	0	1	Roadworthy if driver vision is not impaired	1	1
83	8	Mirrors	Are all mirrors free from defects?	Are all mirrors free from defects?	Side mirror casing scratched	0	1	0	1	Roadworthy if driver vision is not impaired	1	1
84	8	Mirrors	Are all mirrors free from defects?	Are all mirrors free from defects?	Obstructed view	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
85	8	Mirrors	Are all mirrors free from defects?	Are all mirrors free from defects?	Mirrors de-laminated	0	1	0	1	Roadworthy if driver vision is not impaired	1	1
86	9	Horn	Is the horn free from defects?	Is the horn free from defects?	No sound	0	0	0	1	Not roadworthy vehicle must be VOR	1	1
87	9	Horn	Is the horn free from defects?	Is the horn free from defects?	Horn control damaged	0	0	0	1	Not roadworthy vehicle must be VOR	1	1
88	10	CCTV System	Is the CCTV system free from defects?	Is the CCTV system free from defects?	Display inoperative	0	0	0	1	Not roadworthy vehicle must be VOR	1	0
89	10	CCTV System	Is the CCTV system free from defects?	Is the CCTV system free from defects?	Rear camera inoperative	0	0	0	1	Not roadworthy vehicle must be VOR	1	0
90	11	Tyres	Are the tyres free from defects?	Are the tyres free from defects?	Tread nearing legal limit	0	1	0	1	Roadworthy but change at 2mm as per company policy	1	1
91	11	Tyres	Are the tyres free from defects?	Are the tyres free from defects?	Tread below legal limit	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
92	11	Tyres	Are the tyres free from defects?	Are the tyres free from defects?	Cuts to tread	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
93	11	Tyres	Are the tyres free from defects?	Are the tyres free from defects?	Side wall damage	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
94	11	Tyres	Are the tyres free from defects?	Are the tyres free from defects?	Over inflated	0	0	0	1	Not roadworthy	1	1
95	11	Tyres	Are the tyres free from defects?	Are the tyres free from defects?	Under inflated	0	0	0	1	Not roadworthy	1	1
96	11	Tyres	Are the tyres free from defects?	Are the tyres free from defects?	Puncture	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
97	11	Tyres	Are the tyres free from defects?	Are the tyres free from defects?	Uneven tread wear	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
98	11	Tyres	Are the tyres free from defects?	Are the tyres free from defects?	Cords visible	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
99	12	Wheels	Are the wheels free from defects?	Are the wheels free from defects?	Tracking/wheels not aligned	0	0	0	1	Roadworthy but needs workshop visit	1	1
100	12	Wheels	Are the wheels free from defects?	Are the wheels free from defects?	Wheel nut indicators not aligned	0	0	0	1	Not roadworthy	1	1
101	12	Wheels	Are the wheels free from defects?	Are the wheels free from defects?	Missing wheel nuts	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
